timestamp,id,week_end_date,county,state,w_deaths,w_ili,w_covidl,w_neg_tests,w_pos_tests,w_t_total,w_perc_pos,w_positivity,w_events,object_id,week_start_date
2020-06-05T070051,Hernando-03/15/2020,2020-03-21,Hernando,Florida,0,0,0,44,5,49,0.102040816326531,9.09090909090909,22,11853,2020-03-15
2020-06-05T070051,Highlands-03/15/2020,2020-03-21,Highlands,Florida,0,0,0,10,1,11,0.0909090909090909,5.03067484662577,12,11866,2020-03-15
2020-06-05T070051,Hillsborough-03/15/2020,2020-03-21,Hillsborough,Florida,2,0,0,774,41,815,0.0503067484662577,0,270,11879,2020-03-15
2020-06-05T070051,Holmes-03/15/2020,2020-03-21,Holmes,Florida,0,0,0,2,0,2,0,10.4166666666667,1,11892,2020-03-15
2020-06-05T070051,Indian River-03/15/2020,2020-03-21,Indian River,Florida,1,0,0,43,5,48,0.104166666666667,0,19,11905,2020-03-15
2020-06-05T070051,Jackson-03/15/2020,2020-03-21,Jackson,Florida,0,0,0,8,0,8,0,0,0,11918,2020-03-15
2020-06-05T070051,Lafayette-03/15/2020,2020-03-21,Lafayette,Florida,0,0,0,2,0,2,0,6.89655172413793,0,11931,2020-03-15
2020-06-05T070051,Lake-03/15/2020,2020-03-21,Lake,Florida,0,0,0,54,4,58,0.0689655172413793,12.621359223301,48,11944,2020-03-15
2020-06-05T070051,Lee-03/15/2020,2020-03-21,Lee,Florida,2,0,0,89,13,102,0.127450980392157,2.24719101123596,167,11957,2020-03-15
2020-06-05T070051,Leon-03/15/2020,2020-03-21,Leon,Florida,0,0,0,87,2,89,0.0224719101123595,0,28,11970,2020-03-15
2020-06-05T070051,Liberty-03/15/2020,2020-03-21,Liberty,Florida,0,0,0,0,0,0,0,0,0,11983,2020-03-15
2020-06-05T070051,Madison-03/15/2020,2020-03-21,Madison,Florida,0,0,0,3,0,3,0,10.126582278481,2,11996,2020-03-15
2020-06-05T070051,Manatee-03/15/2020,2020-03-21,Manatee,Florida,0,0,0,71,8,79,0.10126582278481,3.77358490566038,49,12009,2020-03-15
2020-06-05T070051,Marion-03/15/2020,2020-03-21,Marion,Florida,0,0,0,50,2,52,0.0384615384615385,2.94117647058824,14,12022,2020-03-15
2020-06-05T070051,Martin-03/15/2020,2020-03-21,Martin,Florida,0,0,0,33,1,34,0.0294117647058824,3.84615384615385,44,12035,2020-03-15
2020-06-05T070051,Nassau-03/15/2020,2020-03-21,Nassau,Florida,0,0,0,37,0,37,0,29.4117647058824,10,12048,2020-03-15
2020-06-05T070051,Okaloosa-03/15/2020,2020-03-21,Okaloosa,Florida,0,0,0,24,10,34,0.294117647058824,0,24,12061,2020-03-15
2020-06-05T070051,Okeechobee-03/15/2020,2020-03-21,Okeechobee,Florida,0,0,0,12,0,12,0,6,3,12074,2020-03-15
2020-06-05T070051,Orange-03/15/2020,2020-03-21,Orange,Florida,1,0,0,327,21,348,0.0603448275862069,11.0344827586207,261,12087,2020-03-15
2020-06-05T070051,Osceola-03/15/2020,2020-03-21,Osceola,Florida,0,0,0,129,16,145,0.110344827586207,12.0734908136483,106,12100,2020-03-15
2020-06-05T070051,Palm Beach-03/15/2020,2020-03-21,Palm Beach,Florida,5,0,0,335,46,381,0.120734908136483,3.7593984962406,356,12113,2020-03-15
2020-06-05T070051,Pasco-03/15/2020,2020-03-21,Pasco,Florida,0,0,0,128,5,133,0.037593984962406,7.20720720720721,38,12126,2020-03-15
2020-06-05T070051,Pinellas-03/15/2020,2020-03-21,Pinellas,Florida,0,0,0,309,24,333,0.0720720720720721,7.97101449275362,142,12139,2020-03-15
2020-06-05T070051,Polk-03/15/2020,2020-03-21,Polk,Florida,1,0,0,128,11,139,0.079136690647482,2.85714285714286,70,12152,2020-03-15
2020-06-05T070051,Putnam-03/15/2020,2020-03-21,Putnam,Florida,0,0,0,34,1,35,0.0285714285714286,0,12,12165,2020-03-15
2020-06-05T070051,Santa Rosa-03/15/2020,2020-03-21,Santa Rosa,Florida,0,0,0,21,2,23,0.0869565217391304,8.69565217391304,26,12178,2020-03-15
2020-06-05T070051,Sarasota-03/15/2020,2020-03-21,Sarasota,Florida,0,0,0,139,10,149,0.0671140939597315,6.66666666666667,61,12191,2020-03-15
2020-06-05T070051,Seminole-03/15/2020,2020-03-21,Seminole,Florida,0,0,0,95,10,105,0.0952380952380952,9.52380952380952,84,12204,2020-03-15
2020-06-05T070051,St. Johns-03/15/2020,2020-03-21,St. Johns,Florida,0,0,0,164,8,172,0.0465116279069767,4.65116279069767,57,12217,2020-03-15
2020-06-05T070051,St. Lucie-03/15/2020,2020-03-21,St. Lucie,Florida,1,0,0,64,1,65,0.0153846153846154,1.53846153846154,53,12230,2020-03-15
2020-06-05T070051,Sumter-03/15/2020,2020-03-21,Sumter,Florida,0,0,0,45,4,49,0.0816326530612245,8.16326530612245,44,12243,2020-03-15
2020-06-05T070051,Suwannee-03/15/2020,2020-03-21,Suwannee,Florida,0,0,0,10,0,10,0,0,4,12256,2020-03-15
2020-06-05T070051,Taylor-03/15/2020,2020-03-21,Taylor,Florida,0,0,0,5,0,5,0,0,1,12269,2020-03-15
2020-06-05T070051,Unknown-03/15/2020,2020-03-21,Unknown,Florida,0,0,0,3,0,3,0,10.5263157894737,0,12282,2020-03-15
2020-06-05T070051,Volusia-03/15/2020,2020-03-21,Volusia,Florida,0,0,0,51,6,57,0.105263157894737,0,55,12295,2020-03-15
2020-06-05T070051,Walton-03/15/2020,2020-03-21,Walton,Florida,0,0,0,22,2,24,0.0833333333333333,0,4,12308,2020-03-15
2020-06-05T070051,Washington-03/15/2020,2020-03-21,Washington,Florida,0,0,0,7,0,7,0,5.31468531468532,1,12321,2020-03-15
2020-06-05T070051,Alachua-03/22/2020,2020-03-28,Alachua,Florida,1,0,0,677,38,715,0.0531468531468531,13.953488372093,35,11555,2020-03-22
2020-06-05T070051,Baker-03/22/2020,2020-03-28,Baker,Florida,0,0,0,37,6,43,0.13953488372093,6.66666666666667,6,11568,2020-03-22
2020-06-05T070051,Bay-03/22/2020,2020-03-28,Bay,Florida,0,0,0,71,5,76,0.0657894736842105,2.4390243902439,10,11581,2020-03-22
2020-06-05T070051,Brevard-03/22/2020,2020-03-28,Brevard,Florida,0,0,0,372,20,392,0.0510204081632653,9.48303203298446,47,11594,2020-03-22
2020-06-05T070051,Broward-03/22/2020,2020-03-28,Broward,Florida,4,0,0,5702,594,6296,0.0943456162642948,0,931,11607,2020-03-22
2020-06-05T070051,Calhoun-03/22/2020,2020-03-28,Calhoun,Florida,1,0,0,9,0,9,0,8.58895705521472,3,11620,2020-03-22
2020-06-05T070051,Charlotte-03/22/2020,2020-03-28,Charlotte,Florida,2,0,0,149,14,163,0.0858895705521472,4.89510489510489,43,11633,2020-03-22
2020-06-05T070051,Citrus-03/22/2020,2020-03-28,Citrus,Florida,0,0,0,135,7,142,0.0492957746478873,8.23045267489712,15,11646,2020-03-22
2020-06-05T070051,Clay-03/22/2020,2020-03-28,Clay,Florida,0,0,0,222,20,242,0.0826446280991736,7.40223463687151,37,11659,2020-03-22
2020-06-05T070051,Collier-03/22/2020,2020-03-28,Collier,Florida,5,0,0,662,53,715,0.0741258741258741,2.73972602739726,84,11672,2020-03-22
2020-06-05T070051,Columbia-03/22/2020,2020-03-28,Columbia,Florida,0,0,0,71,2,73,0.0273972602739726,16.4795918367347,9,11685,2020-03-22
2020-06-05T070051,Dade-03/22/2020,2020-03-28,Dade,Florida,19,0,0,4895,969,5864,0.165245566166439,14.2857142857143,2156,11698,2020-03-22
