timestamp,county,covid_hospitalizations,covid_hospitalizations_update_9_29_remove_minus
2020-07-14T120021,FRANKLIN,0,NA
2020-07-14T120021,GADSDEN,0,NA
2020-07-14T120021,GULF,2,NA
2020-07-14T120021,HARDEE,0,NA
2020-07-14T120021,HENDRY,3,NA
2020-07-14T120021,HERNANDO,58,NA
2020-07-14T120021,HIGHLANDS,51,NA
2020-07-14T120021,HILLSBOROUGH,291,NA
2020-07-14T120021,HOLMES,0,NA
2020-07-14T120021,INDIAN RIVER,35,NA
2020-07-14T120021,JACKSON,36,NA
2020-07-14T120021,LAKE,128,NA
2020-07-14T120021,LEE,274,NA
2020-07-14T120021,LEON,65,NA
2020-07-14T120021,MADISON,0,NA
2020-07-14T120021,MANATEE,90,NA
2020-07-14T120021,MARION,93,NA
2020-07-14T120021,MARTIN,43,NA
2020-07-14T120021,MIAMI-DADE,"1,822",NA
2020-07-14T120021,MONROE,15,NA
2020-07-14T120021,NASSAU,4,NA
2020-07-14T120021,OKALOOSA,39,NA
2020-07-14T120021,OKEECHOBEE,17,NA
2020-07-14T120021,ORANGE,568,NA
2020-07-14T120021,OSCEOLA,183,NA
2020-07-14T120021,PALM BEACH,637,NA
2020-07-14T120021,PASCO,104,NA
2020-07-14T120021,PINELLAS,237,NA
2020-07-14T120021,POLK,142,NA
2020-07-14T120021,PUTNAM,21,NA
2020-07-14T120021,SANTA ROSA,18,NA
2020-07-14T120021,SARASOTA,141,NA
2020-07-14T120021,SEMINOLE,194,NA
2020-07-14T120021,ST. JOHNS,36,NA
2020-07-14T120021,ST. LUCIE,135,NA
2020-07-14T120021,SUMTER,25,NA
2020-07-14T120021,SUWANNEE,0,NA
2020-07-14T120021,TAYLOR,0,NA
2020-07-14T120021,UNION,0,NA
2020-07-14T120021,VOLUSIA,141,NA
2020-07-14T120021,WALTON,6,NA
2020-07-14T120021,WASHINGTON,5,NA
2020-07-14T120021,All,"8,187",NA
2020-07-14T123224,ALACHUA,115,NA
2020-07-14T123224,BAKER,38,NA
2020-07-14T123224,BAY,63,NA
2020-07-14T123224,BREVARD,126,NA
2020-07-14T123224,BROWARD,"1,222",NA
2020-07-14T123224,CALHOUN,1,NA
2020-07-14T123224,CHARLOTTE,41,NA
2020-07-14T123224,CITRUS,20,NA
2020-07-14T123224,CLAY,61,NA
2020-07-14T123224,COLLIER,124,NA
2020-07-14T123224,COLUMBIA,20,NA
2020-07-14T123224,DESOTO,2,NA
2020-07-14T123224,DUVAL,525,NA
